OBJECTID,Dzongkhag,Area_Ha,POP_2005,AreaSqKM,Safe_Wet_,Unsafe_Wet_,Safe_Dry_,Unsafe_Dry_,TotalUnsafe,TotalSafe,Diff,Shape__Area,Shape__Length
1,Bumthang,271733.1983,2999,0,12,0,20,0,0,32,32,3479132608.0321,318848.3747
2,Chhukha,187976.9265,234324,0,9,3,33,2,5,42,37,2376526738.3490,297483.6485
3,Dagana,172282.9928,34324,0,13,17,20,24,41,33,-8,2178652332.8503,268447.7334
4,Gasa,313445.3168,3423,0,2,7,8,1,8,10,2,4035633465.3358,402264.4020
5,Haa,190487.3309,3432,0,18,15,19,14,29,37,8,2421884496.0457,253969.5889
6,Lhuentse,285870.0908,3432,0,42,11,57,6,17,99,82,3664114637.7402,345314.3991
7,Mongar,194426.3399,3423,0,80,52,90,42,94,170,76,2469382330.1714,279201.5302
8,Paro,128712.7368,34,0,0,0,10,0,0,10,10,1641950682.6412,259531.8804
9,Pemagatshel,102210.4866,34,0,69,34,55,32,66,124,58,1290987820.8395,220574.6310
10,Punakha,110956.8569,34,0,0,0,39,4,4,39,35,1419879948.0984,188142.6041
11,Samdrupjongkhar,187706.5162,3342,0,35,10,60,11,21,95,74,2370705713.0582,262082.0250
12,Samtse,130484.6258,576768,0,12,21,37,22,43,49,6,1650477125.2042,283023.4262
13,Sarpang,165537.5955,6785,0,15,9,22,15,24,37,13,2091987859.3556,321956.8915
14,Thimphu,179586.8124,674,0,16,8,11,13,21,27,6,2295380095.8698,362785.2973
15,Trashigang,220396.1507,67547,0,103,63,82,42,105,185,80,2798576936.5439,318595.1787
16,Trongsa,181370.8805,566,0,13,5,13,6,11,26,15,2310622596.2105,282398.5839
17,Tsirang,63783.4209,675,0,29,22,32,24,46,61,15,806953629.5515,169439.6322
18,Wangduephodrang,403564.6549,567,0,31,10,23,8,18,54,36,5153141635.7325,474489.4051
19,Trashiyangtse,144905.2007,8867,0,25,13,18,13,26,43,17,1853462971.0723,260946.5603
20,Zhemgang,241658.0636,885,0,15,30,23,34,64,38,-26,3058549661.7603,326482.4756
