OBJECTID,Name,Website,Gewog,Dzongkhag,Scheme,Months,Date_Completed,Households,People_Benefited,Schools,Acres,BHU,Plots,Drashtang,Population,Trenching_Distance_km,Lat,Long,Altitude,Male,Female,TotDesuups,Status,Location
36,Jomotshangkha Water Project ,https://thebhutanese.bt/around-3000-beneficiaries-of-the-desuung-water-project/,Serthi,Samdrup Jongkhar,Dry Water Irrigation,6.0,2023-02-19,136,,,428.00,,,,,5.30,26.91,92.07,473.21,66,33,99,Complete,Jomotshangkha
37,Zham Water Project,https://www.facebook.com/DeSuungGuardiansofPeace/posts/600200055481445/,Minjay,Lhuentse,Dry Water Irrigation,6.0,2023-03-19,42,,,380.00,,,,,5.50,27.61,91.25,2232.51,38,,,Complete,
38,Depsi Water Project,https://desuung.org.bt/depsi-water-project/,Depsi,Thimphu,Drinking Water,8.0,2023-02-25,,3000,,,,334,,9150,6.80,27.43,89.64,2416.62,74,30,104,Complete,
39,Sibjana Irrigation Scheme,https://kuenselonline.com/sibjana-irrigation-scheme-to-benefit-50-households-in-gasa/,Khamed,Gasa,Dry Water Irrigation,5.0,2024-02-23,58,,,120.00,,,,,3.02,27.81,89.73,,,,,Complete,Sibjana
40,Omshari Landmark Irrigation Project,https://desuung.org.bt/completion-of-omshari-landmark-irrigation-project/,Pemathang,Samdrup Jongkhar,Dry Water Irrigation,7.0,2024-06-23,446,,,922.00,,,,,7.04,26.90,91.74,,,,,Complete,
41,Martsalla Water Project,https://desuung.org.bt/completion-of-martsalla-water-project/,Martsalla,Samdrup Jongkhar,Drinking Water,5.0,2024-06-23,75,350,,,,,,,8.77,26.88,91.71,,,,,Complete,Samdrupcholing Drungkhag
42,Lhachhuthang Water Supply Scheme,https://www.bbs.bt/news/?p=183300,Phuentshogpelri,Samtse,Drinking Water,4.0,2023-12-14,85,477,,,,,,,10.34,26.82,89.19,,,,,Complete,Lhachutang
43,Gelephu Landmark Water Supply Project,https://desuung.org.bt/conclusion-of-gelephu-landmark-water-supply-project/,Samtenling,Sarpang,Drinking Water,18.0,2023-12-23,4276,60000,,,,,,,12.30,26.92,90.46,,,,,Complete,Gelephu
44,Gyetsa Water Project,https://desuung.org.bt/gyetsa-water-project-inaugurated/,Chumig,Bumthang,Drinking Water,5.0,2024-05-02,65,,,,,,1,,5.30,27.50,90.70,,,,,Complete,Gyetsa
45,Lhayual Water Project,https://desuung.org.bt/inauguration-of-lhayual-water-project-sarpang/,Chudzom,Sarpang,Drinking Water,6.0,2024-07-18,,156,1,,1,,,,22.10,27.03,90.39,,,,,Active,Lhayul
